tsize,tcount,CHPCount,ppv,pw,pc,ebat,pbat1,pmgi,mintimeup,mintimedown,cbatinitial,socinitial,socmin,socmax,clearingprice,costa,costb,costc,
1,1440,10,0.4661745,0.8857471,9.62908,20,3,1.4,300,300,1,0.56,0.25,0.75,62.6,0.042,5.232,33.227,
,,,0.4661745,0.7760839,9.62908,,,2,150,150,,,,,62.6,0.029,7.225,49.102,
,,,0.4667262,0.7759976,9.62908,,,0.8,60,60,,,,,62.6,0.214,6.223,22.547,
,,,0.4667262,0.8099159,9.668537,,,0.8,75,75,,,,,62.6,0.544,3.899,28.921,
,,,0.4667262,0.8173465,9.668537,,,0.9,80,80,,,,,62.6,0.321,5.221,22.881,
,,,0.4667262,0.7632875,9.668537,,,0.5,30,30,,,,,62.6,0.1364,4.5995,13.459,
,,,0.4668365,0.7803055,9.668535,,,0.8,30,30,,,,,62.6,0.568,6.023,15.596,
,,,0.4668733,0.7073052,9.686963,,,0.8,15,15,,,,,62.6,0.233,5.921,14.992,
,,,0.4668733,0.707917,9.686963,,,0.45,45,45,,,,,62.6,0.678,8.934,11.001,
,,,0.4668733,0.707917,9.686963,,,0.25,30,30,,,,,62.6,0.312,8.564,6.589,
,,,0.4668733,0.7409983,9.735369,,,,,,,,,,62.6,,,,
,,,0.4668733,0.701038,9.735369,,,,,,,,,,62.6,,,,
,,,0.4668733,0.7001122,9.735369,,,,,,,,,,62.6,,,,
,,,0.4668733,0.7001134,9.722186,,,,,,,,,,62.6,,,,
,,,0.4668733,0.7109454,9.722186,,,,,,,,,,62.6,,,,
,,,0.470037,0.6971738,9.738519,,,,,,,,,,62.6,,,,
,,,0.4699549,0.6971755,9.736399,,,,,,,,,,62.6,,,,
,,,0.4699496,0.6423672,9.784803,,,,,,,,,,62.6,,,,
,,,0.4699496,0.6472932,9.778973,,,,,,,,,,62.6,,,,
,,,0.4699496,0.6597465,9.778973,,,,,,,,,,62.6,,,,
,,,0.4699496,0.6715546,9.778973,,,,,,,,,,62.6,,,,
,,,0.4700967,0.6250588,9.778973,,,,,,,,,,62.6,,,,
,,,0.4700967,0.6493207,9.778973,,,,,,,,,,62.6,,,,
,,,0.4700967,0.6537791,9.778973,,,,,,,,,,62.6,,,,
,,,0.4700967,0.6620911,9.822826,,,,,,,,,,62.6,,,,
,,,0.4700967,0.6620899,9.822826,,,,,,,,,,62.6,,,,
,,,0.4699357,0.6620899,9.822826,,,,,,,,,,62.6,,,,
,,,0.4700093,0.5979149,9.803098,,,,,,,,,,62.6,,,,
,,,0.4700093,0.6305294,9.803098,,,,,,,,,,62.6,,,,
,,,0.4700093,0.6057851,9.910688,,,,,,,,,,62.6,,,,
,,,0.4700093,0.6057851,9.910688,,,,,,,,,,62.6,,,,
,,,0.4700093,0.5924796,9.910688,,,,,,,,,,62.6,,,,
,,,0.4700093,0.5924796,9.910688,,,,,,,,,,62.6,,,,
,,,0.4700093,0.5924796,9.910688,,,,,,,,,,62.6,,,,
,,,0.4700093,0.5785152,9.917337,,,,,,,,,,62.6,,,,
,,,0.4700093,0.5785362,9.917338,,,,,,,,,,62.6,,,,
,,,0.5044001,0.579954,9.799209,,,,,,,,,,62.6,,,,
,,,0.5043974,0.5840048,9.935475,,,,,,,,,,62.6,,,,
,,,0.5043974,0.5840071,9.935475,,,,,,,,,,62.6,,,,
,,,0.5615125,0.5466586,9.91419,,,,,,,,,,62.6,,,,
,,,0.5615125,0.594807,9.826325,,,,,,,,,,62.6,,,,
,,,0.584415,0.5765394,9.826325,,,,,,,,,,62.6,,,,
,,,0.584415,0.5348273,9.944457,,,,,,,,,,62.6,,,,
,,,0.584415,0.5348273,9.944282,,,,,,,,,,62.6,,,,
,,,0.6302201,0.5530948,9.92212,,,,,,,,,,62.6,,,,
,,,0.6302201,0.5530838,9.937168,,,,,,,,,,62.6,,,,
,,,0.6646366,0.5530977,9.93867,,,,,,,,,,62.6,,,,
,,,0.7103679,0.5063037,9.92823,,,,,,,,,,62.6,,,,
,,,0.7103679,0.5183044,9.813928,,,,,,,,,,62.6,,,,
,,,0.7103028,0.5218495,9.813928,,,,,,,,,,62.6,,,,
,,,0.7103028,0.5218495,9.813928,,,,,,,,,,62.6,,,,
,,,0.7103028,0.521869,9.874869,,,,,,,,,,62.6,,,,
,,,0.7103028,0.5218592,9.860465,,,,,,,,,,62.6,,,,
,,,0.7104303,0.5214034,9.860465,,,,,,,,,,62.6,,,,
,,,0.7104303,0.5267617,9.878487,,,,,,,,,,62.6,,,,
,,,0.7104303,0.5133319,9.878487,,,,,,,,,,62.6,,,,
,,,0.7103567,0.4879492,9.878487,,,,,,,,,,62.6,,,,
,,,0.7103567,0.5010093,9.875512,,,,,,,,,,62.6,,,,
,,,0.7103567,0.5010093,9.875512,,,,,,,,,,62.6,,,,
,,,0.7103567,0.4927278,9.875511,,,,,,,,,,62.6,,,,
,,,0.7103567,0.4927181,9.875511,,,,,,,,,,55.69,,,,
,,,0.7103567,0.506505,9.841219,,,,,,,,,,55.69,,,,
,,,0.710289,0.4596106,9.818417,,,,,,,,,,55.69,,,,
,,,0.710289,0.4596313,9.818417,,,,,,,,,,55.69,,,,
,,,0.710289,0.4596273,9.818417,,,,,,,,,,55.69,,,,
,,,0.710289,0.4596273,9.818417,,,,,,,,,,55.69,,,,
,,,0.710289,0.4599799,9.818417,,,,,,,,,,55.69,,,,
,,,0.710094,0.479127,9.838142,,,,,,,,,,55.69,,,,
,,,0.710094,0.4785386,9.839193,,,,,,,,,,55.69,,,,
,,,0.710094,0.4785386,9.839193,,,,,,,,,,55.69,,,,
,,,0.710094,0.4787956,9.771062,,,,,,,,,,55.69,,,,
,,,0.710094,0.4882565,9.771062,,,,,,,,,,55.69,,,,
,,,0.710094,0.4882675,9.775162,,,,,,,,,,55.69,,,,
,,,0.710094,0.4801843,9.790559,,,,,,,,,,55.69,,,,
,,,0.710094,0.4801704,9.790559,,,,,,,,,,55.69,,,,
,,,0.7100289,0.4619233,9.790559,,,,,,,,,,55.69,,,,
,,,0.7100289,0.4619192,9.790557,,,,,,,,,,55.69,,,,
,,,0.7214804,0.4634683,9.737229,,,,,,,,,,55.69,,,,
,,,0.7672006,0.4634642,9.737231,,,,,,,,,,55.69,,,,
,,,0.7786521,0.4634642,9.756961,,,,,,,,,,55.69,,,,
,,,0.7786041,0.4663954,9.756961,,,,,,,,,,55.69,,,,
,,,0.8015065,0.476546,9.756963,,,,,,,,,,55.69,,,,
,,,0.8015065,0.4794565,9.770957,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4794634,9.770957,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4624083,9.737599,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4623919,9.737599,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4624161,9.737599,,,,,,,,,,55.69,,,,
,,,0.8009863,0.462414,9.719754,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4624404,9.748562,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4645156,9.748562,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4645116,9.700158,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4645357,9.722769,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4645283,9.643206,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4645712,9.643206,,,,,,,,,,55.69,,,,
,,,0.8009863,0.4645469,9.643206,,,,,,,,,,55.69,,,,
,,,0.7893398,0.4645543,9.5948,,,,,,,,,,55.69,,,,
,,,0.7893398,0.4645929,9.5948,,,,,,,,,,55.69,,,,
,,,0.7778889,0.4821641,9.5948,,,,,,,,,,55.69,,,,
,,,0.7778889,0.4821775,9.5948,,,,,,,,,,55.69,,,,
,,,0.7546611,0.47803,9.6095,,,,,,,,,,55.69,,,,
,,,0.7546611,0.4780352,9.577189,,,,,,,,,,55.69,,,,
,,,0.7546611,0.4780519,9.567509,,,,,,,,,,55.69,,,,
,,,0.7546611,0.4776521,9.564651,,,,,,,,,,55.69,,,,
,,,0.7432097,0.477659,9.565585,,,,,,,,,,55.69,,,,
,,,0.74332,0.4776735,9.565585,,,,,,,,,,55.69,,,,
,,,0.731674,0.4776816,9.560567,,,,,,,,,,55.69,,,,
,,,0.7087712,0.4959569,9.52721,,,,,,,,,,55.69,,,,
,,,0.7084461,0.4959433,9.575616,,,,,,,,,,55.69,,,,
,,,0.7084461,0.4959302,9.429086,,,,,,,,,,55.69,,,,
,,,0.7084461,0.4959524,9.437718,,,,,,,,,,55.69,,,,
,,,0.6969947,0.4959755,9.450915,,,,,,,,,,55.69,,,,
,,,0.6855437,0.4959657,9.451266,,,,,,,,,,55.69,,,,
,,,0.6855437,0.4958958,9.437302,,,,,,,,,,55.69,,,,
,,,0.6736739,0.4959371,9.471152,,,,,,,,,,55.69,,,,
,,,0.6622224,0.4959373,9.334886,,,,,,,,,,55.69,,,,
,,,0.6507713,0.4982698,9.413796,,,,,,,,,,55.69,,,,
,,,0.6392831,0.505161,9.27753,,,,,,,,,,55.69,,,,
,,,0.6278322,0.5051615,9.283809,,,,,,,,,,55.69,,,,
,,,0.6163808,0.5114323,9.278796,,,,,,,,,,55.69,,,,
,,,0.6047343,0.5114323,9.278796,,,,,,,,,,55.69,,,,
,,,0.5932178,0.5114187,9.278794,,,,,,,,,,42.45,,,,
,,,0.5817669,0.5296813,9.278794,,,,,,,,,,42.45,,,,
,,,0.5701204,0.5296997,9.171749,,,,,,,,,,42.45,,,,
,,,0.5701684,0.5296006,9.171749,,,,,,,,,,42.45,,,,
,,,0.5701684,0.5296096,9.171749,,,,,,,,,,42.45,,,,
,,,0.5701684,0.5296027,9.068143,,,,,,,,,,42.45,,,,
,,,0.5701684,0.529612,9.019737,,,,,,,,,,42.45,,,,
,,,0.5701684,0.5345044,9.019737,,,,,,,,,,42.45,,,,
,,,0.5701684,0.5344531,8.922925,,,,,,,,,,42.45,,,,
,,,0.5701684,0.5527651,8.911494,,,,,,,,,,42.45,,,,
,,,0.5700639,0.552819,8.920418,,,,,,,,,,42.45,,,,
,,,0.5700639,0.552771,8.872014,,,,,,,,,,42.45,,,,
,,,0.5700639,0.5528085,8.968823,,,,,,,,,,42.45,,,,
,,,0.5700639,0.5526726,8.968823,,,,,,,,,,42.45,,,,
,,,0.5700639,0.5526864,8.920419,,,,,,,,,,42.45,,,,
,,,0.5699733,0.5709703,8.92077,,,,,,,,,,42.45,,,,
,,,0.5816848,0.5712988,8.936464,,,,,,,,,,42.45,,,,
,,,0.5816848,0.5709801,8.910453,,,,,,,,,,42.45,,,,
,,,0.5815547,0.5710073,8.943812,,,,,,,,,,42.45,,,,
,,,0.5472008,0.5730784,8.895406,,,,,,,,,,42.45,,,,
,,,0.5471272,0.5883191,8.895406,,,,,,,,,,42.45,,,,
,,,0.5471272,0.588317,8.845077,,,,,,,,,,42.45,,,,
,,,0.5471272,0.5883234,8.902462,,,,,,,,,,42.45,,,,
,,,0.5471272,0.5883458,8.802214,,,,,,,,,,42.45,,,,
,,,0.5585784,0.6065469,8.899023,,,,,,,,,,42.45,,,,
,,,0.5356759,0.6065469,8.899023,,,,,,,,,,42.45,,,,
,,,0.5242246,0.6065086,8.910275,,,,,,,,,,42.45,,,,
,,,0.5016472,0.6065624,8.765061,,,,,,,,,,42.45,,,,
,,,0.5011919,0.6190698,8.771478,,,,,,,,,,42.45,,,,
,,,0.5015172,0.6190698,8.765995,,,,,,,,,,42.45,,,,
,,,0.5129683,0.6190986,8.765995,,,,,,,,,,42.45,,,,
,,,0.4900656,0.6190094,9.004002,,,,,,,,,,42.45,,,,
,,,0.4671632,0.6247937,9.004002,,,,,,,,,,42.45,,,,
,,,0.4671632,0.624726,9.10081,,,,,,,,,,42.45,,,,
,,,0.4671632,0.6247291,9.10081,,,,,,,,,,42.45,,,,
,,,0.4671632,0.6612564,9.128685,,,,,,,,,,42.45,,,,
,,,0.4671632,0.6612702,9.128685,,,,,,,,,,42.45,,,,
,,,0.4786147,0.6597229,9.216545,,,,,,,,,,42.45,,,,
,,,0.4783316,0.659725,9.148416,,,,,,,,,,42.45,,,,
,,,0.4897824,0.6597276,9.148413,,,,,,,,,,42.45,,,,
,,,0.5012338,0.6651859,9.153429,,,,,,,,,,42.45,,,,
,,,0.5012338,0.6651831,9.137218,,,,,,,,,,42.45,,,,
,,,0.5012338,0.702173,9.145732,,,,,,,,,,42.45,,,,
,,,0.5011038,0.7021508,9.145729,,,,,,,,,,42.45,,,,
,,,0.5240063,0.7022357,9.145731,,,,,,,,,,42.45,,,,
,,,0.5240063,0.7022357,9.13267,,,,,,,,,,42.45,,,,
,,,0.5354577,0.7038398,9.11214,,,,,,,,,,42.45,,,,
,,,0.5354577,0.7221241,9.112141,,,,,,,,,,42.45,,,,
,,,0.5354577,0.7221301,9.112141,,,,,,,,,,42.45,,,,
,,,0.5467789,0.7156315,9.112141,,,,,,,,,,42.45,,,,
,,,0.5465839,0.7521704,9.112141,,,,,,,,,,42.45,,,,
,,,0.5580353,0.7521726,9.074512,,,,,,,,,,42.45,,,,
,,,0.5580353,0.7528814,9.074512,,,,,,,,,,42.45,,,,
,,,0.5580353,0.7711293,9.097093,,,,,,,,,,42.45,,,,
,,,0.5809377,0.7776495,9.097093,,,,,,,,,,42.45,,,,
,,,0.5809377,0.7776471,9.097094,,,,,,,,,,42.45,,,,
,,,0.5809377,0.7608578,9.028958,,,,,,,,,,42.45,,,,
,,,0.5808076,0.7608637,9.028958,,,,,,,,,,42.45,,,,
,,,0.6151614,0.797206,9.028962,,,,,,,,,,42.45,,,,
,,,0.6149013,0.7954338,9.013915,,,,,,,,,,42.45,,,,
,,,0.6149013,0.7699623,9.013913,,,,,,,,,,39.74,,,,
,,,0.6149013,0.7790111,9.013913,,,,,,,,,,39.74,,,,
,,,0.6149013,0.7972811,9.013912,,,,,,,,,,39.74,,,,
,,,0.6147712,0.7990227,9.020329,,,,,,,,,,39.74,,,,
,,,0.6147398,0.8004416,8.971925,,,,,,,,,,39.74,,,,
,,,0.6146097,0.8108774,8.971925,,,,,,,,,,39.74,,,,
,,,0.6146097,0.8108683,8.952196,,,,,,,,,,39.74,,,,
,,,0.6600897,0.810881,8.910207,,,,,,,,,,39.74,,,,
,,,0.6600897,0.8122812,8.937152,,,,,,,,,,39.74,,,,
,,,0.6600897,0.8305507,8.888751,,,,,,,,,,39.74,,,,
,,,0.6571637,0.8305472,8.895166,,,,,,,,,,39.74,,,,
,,,0.6577489,0.8242963,8.866491,,,,,,,,,,39.74,,,,
,,,0.6577489,0.8242698,8.865554,,,,,,,,,,39.74,,,,
,,,0.6692,0.8242703,8.85051,,,,,,,,,,39.74,,,,
,,,0.6692,0.8242679,8.850511,,,,,,,,,,39.74,,,,
,,,0.6700959,0.8242648,8.85681,,,,,,,,,,39.74,,,,
,,,0.6584499,0.8245361,8.841759,,,,,,,,,,39.74,,,,
,,,0.6584499,0.8244875,8.773627,,,,,,,,,,39.74,,,,
,,,0.6584499,0.8244835,8.759514,,,,,,,,,,39.74,,,,
,,,0.6584499,0.8427498,8.764763,,,,,,,,,,39.74,,,,
,,,0.693259,0.8428133,8.764761,,,,,,,,,,39.74,,,,
,,,0.693259,0.8686291,8.743299,,,,,,,,,,39.74,,,,
,,,0.693259,0.8503552,8.690566,,,,,,,,,,39.74,,,,
,,,0.6934273,0.850648,8.682983,,,,,,,,,,39.74,,,,
,,,0.6934273,0.8871872,8.614736,,,,,,,,,,39.74,,,,
,,,0.6934273,0.8991176,8.614736,,,,,,,,,,39.74,,,,
,,,0.6934273,0.8991238,8.614736,,,,,,,,,,39.74,,,,
,,,0.6934273,0.8808581,8.546604,,,,,,,,,,39.74,,,,
,,,0.7048785,0.8808547,8.546604,,,,,,,,,,39.74,,,,
,,,0.7048785,0.8808612,8.517923,,,,,,,,,,39.74,,,,
,,,0.693427,0.8808526,8.442078,,,,,,,,,,39.74,,,,
,,,0.7166548,0.9182231,8.440973,,,,,,,,,,39.74,,,,
,,,0.7053335,0.9302395,8.440973,,,,,,,,,,39.74,,,,
,,,0.7053334,0.9296165,8.313656,,,,,,,,,,39.74,,,,
,,,0.7053334,0.9296438,8.414347,,,,,,,,,,39.74,,,,
,,,0.7289781,0.9296135,8.414347,,,,,,,,,,39.74,,,,
,,,0.7053858,0.9296168,8.414347,,,,,,,,,,39.74,,,,
,,,0.716837,0.9295594,8.414347,,,,,,,,,,39.74,,,,
,,,0.716707,0.9295644,8.441291,,,,,,,,,,39.74,,,,
,,,0.7281386,0.9295679,8.441291,,,,,,,,,,39.74,,,,
,,,0.7507811,0.9313888,8.441291,,,,,,,,,,39.74,,,,
,,,0.7507811,0.9314098,8.42531,,,,,,,,,,39.74,,,,
,,,0.7507358,0.9233537,8.425312,,,,,,,,,,39.74,,,,
,,,0.7509959,0.912972,8.425312,,,,,,,,,,39.74,,,,
,,,0.7394173,0.9129834,8.403851,,,,,,,,,,39.74,,,,
,,,0.7389904,0.9129827,8.403851,,,,,,,,,,39.74,,,,
,,,0.7389904,0.9129769,8.403851,,,,,,,,,,39.74,,,,
,,,0.7630012,0.9129972,8.40385,,,,,,,,,,39.74,,,,
,,,0.7625743,0.9169008,8.40385,,,,,,,,,,39.74,,,,
,,,0.7519678,0.9169,8.518651,,,,,,,,,,39.74,,,,
,,,0.7519678,0.9168916,8.518653,,,,,,,,,,39.74,,,,
,,,0.7862849,0.9168904,8.518653,,,,,,,,,,39.74,,,,
,,,0.7861745,0.9169016,8.49766,,,,,,,,,,39.74,,,,
,,,0.7747232,0.8986254,8.49766,,,,,,,,,,39.74,,,,
,,,0.7867881,0.8996835,8.556848,,,,,,,,,,39.74,,,,
,,,0.7867881,0.8997713,8.556848,,,,,,,,,,39.74,,,,
,,,0.7867881,0.8997079,8.548216,,,,,,,,,,39.74,,,,
,,,0.7869182,0.8997098,8.548216,,,,,,,,,,39.74,,,,
,,,0.7874948,0.8993818,8.548217,,,,,,,,,,39.74,,,,
,,,0.7875316,0.9032604,8.505293,,,,,,,,,,39.74,,,,
,,,0.7875316,0.9031605,8.511708,,,,,,,,,,36.49,,,,
,,,0.7875316,0.9031645,8.495728,,,,,,,,,,36.49,,,,
,,,0.7875316,0.8931246,8.490246,,,,,,,,,,36.49,,,,
,,,0.7874581,0.8931449,8.486396,,,,,,,,,,36.49,,,,
,,,0.7880715,0.8931487,8.486396,,,,,,,,,,36.49,,,,
,,,0.7880715,0.8926387,8.480915,,,,,,,,,,36.49,,,,
,,,0.7880715,0.892644,8.480914,,,,,,,,,,36.49,,,,
,,,0.7882015,0.9071324,8.480914,,,,,,,,,,36.49,,,,
,,,0.788128,0.9013172,8.480915,,,,,,,,,,36.49,,,,
,,,0.7880912,0.9013004,8.480915,,,,,,,,,,36.49,,,,
,,,0.8682502,0.9013171,8.480915,,,,,,,,,,36.49,,,,
,,,0.8682134,0.9013323,8.453971,,,,,,,,,,36.49,,,,
,,,0.8686318,0.8974239,8.453971,,,,,,,,,,36.49,,,,
,,,0.8572539,0.8939399,8.453971,,,,,,,,,,36.49,,,,
,,,0.8343145,0.9063888,8.584752,,,,,,,,,,36.49,,,,
,,,0.8343342,0.9064033,8.584753,,,,,,,,,,36.49,,,,
,,,0.8686516,0.9057627,8.57883,,,,,,,,,,36.49,,,,
,,,0.8571633,0.9068714,8.384097,,,,,,,,,,36.49,,,,
,,,0.8571265,0.8906277,8.310482,,,,,,,,,,36.49,,,,
,,,0.8571265,0.9072378,8.499838,,,,,,,,,,36.49,,,,
,,,0.8918055,0.8960528,8.295438,,,,,,,,,,36.49,,,,
,,,0.8916951,0.9067804,8.292989,,,,,,,,,,36.49,,,,
,,,0.8916583,0.9068783,8.292987,,,,,,,,,,36.49,,,,
,,,0.8458529,0.9131138,8.550952,,,,,,,,,,36.49,,,,
,,,0.8805521,0.9014887,8.280155,,,,,,,,,,36.49,,,,
,,,0.8805153,0.9014686,8.280155,,,,,,,,,,36.49,,,,
,,,0.8806368,0.9014917,8.280155,,,,,,,,,,36.49,,,,
,,,0.8806565,0.9023274,8.563785,,,,,,,,,,36.49,,,,
,,,0.8805462,0.9027493,8.223121,,,,,,,,,,36.49,,,,
,,,0.9031034,0.9027365,8.223121,,,,,,,,,,36.49,,,,
,,,0.9031034,0.9027489,8.223121,,,,,,,,,,36.49,,,,
,,,0.9031034,0.9166177,8.256348,,,,,,,,,,36.49,,,,
,,,0.9031034,0.9167779,8.256347,,,,,,,,,,36.49,,,,
,,,0.9031034,0.916619,8.256346,,,,,,,,,,36.49,,,,
,,,0.9031034,0.9167916,8.304751,,,,,,,,,,36.49,,,,
,,,0.9036886,0.9153747,8.283989,,,,,,,,,,36.49,,,,
,,,0.9036886,0.9153904,8.28399,,,,,,,,,,36.49,,,,
,,,0.9036886,0.9278535,8.283989,,,,,,,,,,36.49,,,,
,,,0.9799408,0.9203375,8.28399,,,,,,,,,,36.49,,,,
,,,0.9799408,0.9203349,8.283991,,,,,,,,,,36.49,,,,
,,,0.9874854,0.9347933,8.235585,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9389005,8.188578,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9362927,8.257279,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9403129,8.257279,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9462475,8.158604,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9279742,8.156143,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9279909,8.156142,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9414372,8.149843,,,,,,,,,,36.49,,,,
,,,0.9876802,0.9446828,8.198246,,,,,,,,,,36.49,,,,
,,,0.999197,0.9446861,8.122897,,,,,,,,,,36.49,,,,
,,,0.999197,0.9447016,8.219707,,,,,,,,,,36.49,,,,
,,,0.9988067,0.9447121,8.171303,,,,,,,,,,36.49,,,,
,,,1.010258,0.9428663,8.219707,,,,,,,,,,36.49,,,,
,,,0.9909931,0.942883,8.222271,,,,,,,,,,36.49,,,,
,,,0.9909931,0.9619501,7.881605,,,,,,,,,,36.49,,,,
,,,0.9912117,0.9677556,7.881605,,,,,,,,,,36.49,,,,
,,,1.002837,0.9669718,7.819895,,,,,,,,,,36.49,,,,
,,,1.003098,0.9682702,7.819895,,,,,,,,,,36.49,,,,
,,,1.003038,0.9682782,7.819895,,,,,,,,,,36.49,,,,
,,,1.003038,0.9683016,7.819894,,,,,,,,,,36.49,,,,
,,,1.003038,0.9876407,7.8683,,,,,,,,,,44.04,,,,
,,,1.003038,0.9739555,7.8683,,,,,,,,,,44.04,,,,
,,,1.003038,0.9775837,7.819896,,,,,,,,,,44.04,,,,
,,,1.003103,0.9936085,7.774057,,,,,,,,,,44.04,,,,
,,,1.003103,0.9973159,7.772108,,,,,,,,,,44.04,,,,
,,,1.003103,0.9973325,7.772107,,,,,,,,,,44.04,,,,
,,,1.003233,0.9952868,7.431444,,,,,,,,,,44.04,,,,
,,,0.9803308,0.9953365,7.431445,,,,,,,,,,44.04,,,,
,,,0.9802434,1.01385,7.431445,,,,,,,,,,44.04,,,,
,,,1.004764,1.013863,7.431445,,,,,,,,,,44.04,,,,
,,,1.004764,1.008999,7.431445,,,,,,,,,,44.04,,,,
,,,0.9933125,1.014948,3.820411,,,,,,,,,,44.04,,,,
,,,0.9933775,1.02859,3.772007,,,,,,,,,,44.04,,,,
,,,0.9933775,1.007515,3.773641,,,,,,,,,,44.04,,,,
,,,0.9933775,1.033703,3.773642,,,,,,,,,,44.04,,,,
,,,0.993386,1.024062,3.773642,,,,,,,,,,44.04,,,,
,,,0.9923275,1.037011,3.866719,,,,,,,,,,44.04,,,,
,,,0.9923275,1.037081,3.866719,,,,,,,,,,44.04,,,,
,,,0.9923275,1.026581,3.818314,,,,,,,,,,44.04,,,,
,,,0.9991425,1.044921,3.818314,,,,,,,,,,44.04,,,,
,,,1.067916,1.044866,3.818314,,,,,,,,,,44.04,,,,
,,,1.067992,1.043479,3.818314,,,,,,,,,,44.04,,,,
,,,1.067992,1.039953,3.818314,,,,,,,,,,44.04,,,,
,,,1.067992,1.116324,3.818314,,,,,,,,,,44.04,,,,
,,,1.079378,1.115173,3.818314,,,,,,,,,,44.04,,,,
,,,1.079378,1.115154,3.769909,,,,,,,,,,44.04,,,,
,,,1.081609,1.115039,3.748447,,,,,,,,,,44.04,,,,
,,,1.081533,1.09328,3.658549,,,,,,,,,,44.04,,,,
,,,1.100535,1.224298,3.658549,,,,,,,,,,44.04,,,,
,,,1.100391,1.096697,3.610145,,,,,,,,,,44.04,,,,
,,,1.100391,1.102268,3.610145,,,,,,,,,,44.04,,,,
,,,1.100589,1.102277,3.610145,,,,,,,,,,44.04,,,,
,,,1.100589,1.100954,3.610145,,,,,,,,,,44.04,,,,
,,,1.105857,1.127402,3.685496,,,,,,,,,,44.04,,,,
,,,1.05399,1.127442,3.63709,,,,,,,,,,44.04,,,,
,,,1.053959,1.145011,3.63709,,,,,,,,,,44.04,,,,
,,,1.053959,1.159844,3.63709,,,,,,,,,,44.04,,,,
,,,1.053986,1.139595,3.645254,,,,,,,,,,44.04,,,,
,,,1.053921,1.139334,3.623792,,,,,,,,,,44.04,,,,
,,,1.053098,1.14523,3.623792,,,,,,,,,,44.04,,,,
,,,1.054011,1.163548,3.630558,,,,,,,,,,44.04,,,,
,,,1.053189,1.163548,3.618703,,,,,,,,,,44.04,,,,
,,,1.053189,1.170023,3.640164,,,,,,,,,,44.04,,,,
,,,1.058984,1.17105,3.59176,,,,,,,,,,44.04,,,,
,,,1.116972,1.176514,3.59176,,,,,,,,,,44.04,,,,
